,date,Ranking range,count,Share
0,2022-01-31,Sup top 20,6876,5.29%
1,2022-01-31,top 10,55794,42.92%
2,2022-01-31,top 20,57995,44.61%
3,2022-01-31,top 3,9335,7.18%
4,2022-05-02,Sup top 20,5847,4.5%
5,2022-05-02,top 10,59109,45.47%
6,2022-05-02,top 20,54885,42.22%
7,2022-05-02,top 3,10159,7.81%
8,2022-05-30,Sup top 20,1273,0.98%
9,2022-05-30,top 10,63819,49.09%
10,2022-05-30,top 20,53261,40.97%
11,2022-05-30,top 3,11647,8.96%
12,2022-06-06,Sup top 20,704,0.54%
13,2022-06-06,top 10,66037,50.8%
14,2022-06-06,top 20,51584,39.68%
15,2022-06-06,top 3,11675,8.98%
