,date,Ranking range,count,Share
0,2022-04-11,11-20,1386,1.07%
1,2022-04-11,4-10,38186,29.37%
2,2022-04-11,top 3,90428,69.56%
3,2022-06-13,11-20,1250,0.96%
4,2022-06-13,4-10,42897,33.0%
5,2022-06-13,top 3,85853,66.04%
6,2022-06-27,11-20,1311,1.01%
7,2022-06-27,4-10,39798,30.61%
8,2022-06-27,top 3,88891,68.38%
9,2022-07-04,11-20,1325,1.02%
10,2022-07-04,4-10,37715,29.01%
11,2022-07-04,top 3,90960,69.97%
