,date,Ranking range,count,Share
0,2022-04-11,11-20,3546,2.73%
1,2022-04-11,4-10,54860,42.2%
2,2022-04-11,top 3,71594,55.07%
3,2022-06-13,11-20,2971,2.29%
4,2022-06-13,4-10,54159,41.66%
5,2022-06-13,top 3,72870,56.05%
6,2022-06-27,11-20,3132,2.41%
7,2022-06-27,4-10,52677,40.52%
8,2022-06-27,top 3,74191,57.07%
9,2022-07-04,11-20,3340,2.57%
10,2022-07-04,4-10,50053,38.5%
11,2022-07-04,top 3,76607,58.93%
