,date,Ranking range,count,Share
0,2022-03-14,Sup top 20,86,0.08%
1,2022-03-14,top 10,55370,50.8%
2,2022-03-14,top 20,17868,16.39%
3,2022-03-14,top 3,35676,32.73%
4,2022-04-25,Sup top 20,17,0.02%
5,2022-04-25,top 10,56158,51.52%
6,2022-04-25,top 20,15106,13.86%
7,2022-04-25,top 3,37719,34.6%
8,2022-05-09,Sup top 20,20,0.02%
9,2022-05-09,top 10,55656,51.06%
10,2022-05-09,top 20,14866,13.64%
11,2022-05-09,top 3,38458,35.28%
12,2022-05-16,Sup top 20,19,0.02%
13,2022-05-16,top 10,56502,51.84%
14,2022-05-16,top 20,14352,13.17%
15,2022-05-16,top 3,38127,34.98%
