,date,Ranking range,count,Share
0,2022-03-07,11-20,13807,10.62%
1,2022-03-07,4-10,88349,67.96%
2,2022-03-07,top 3,27844,21.42%
3,2022-05-30,11-20,12059,9.28%
4,2022-05-30,4-10,88572,68.13%
5,2022-05-30,top 3,29369,22.59%
6,2022-06-13,11-20,12431,9.56%
7,2022-06-13,4-10,82776,63.67%
8,2022-06-13,top 3,34793,26.76%
9,2022-06-20,11-20,12031,9.25%
10,2022-06-20,4-10,82735,63.64%
11,2022-06-20,top 3,35234,27.1%
