,date,Ranking range,count,Share
0,2022-01-31,top 10,88653,68.19%
1,2022-01-31,top 20,19030,14.64%
2,2022-01-31,top 3,22317,17.17%
3,2022-05-02,top 10,85545,65.8%
4,2022-05-02,top 20,12878,9.91%
5,2022-05-02,top 3,31577,24.29%
6,2022-05-30,top 10,88572,68.13%
7,2022-05-30,top 20,12059,9.28%
8,2022-05-30,top 3,29369,22.59%
9,2022-06-06,top 10,88045,67.73%
10,2022-06-06,top 20,11620,8.94%
11,2022-06-06,top 3,30335,23.33%
