,date,Ranking range,count,Share
0,2022-03-07,11-20,1462,1.12%
1,2022-03-07,4-10,41431,31.87%
2,2022-03-07,top 3,87107,67.01%
3,2022-05-30,11-20,1425,1.1%
4,2022-05-30,4-10,51112,39.32%
5,2022-05-30,top 3,77463,59.59%
6,2022-06-13,11-20,1250,0.96%
7,2022-06-13,4-10,42897,33.0%
8,2022-06-13,top 3,85853,66.04%
9,2022-06-20,11-20,1337,1.03%
10,2022-06-20,4-10,43406,33.39%
11,2022-06-20,top 3,85257,65.58%
