,date,Ranking range,count,Share
0,2022-01-31,top 10,50808,39.08%
1,2022-01-31,top 20,2499,1.92%
2,2022-01-31,top 3,76693,58.99%
3,2022-04-25,top 10,484,0.37%
4,2022-04-25,top 20,32,0.02%
5,2022-04-25,top 3,545,0.42%
6,2022-05-02,top 10,54562,41.97%
7,2022-05-02,top 20,3253,2.5%
8,2022-05-02,top 3,71124,54.71%
9,2022-05-30,top 10,54719,42.09%
10,2022-05-30,top 20,3102,2.39%
11,2022-05-30,top 3,72179,55.52%
12,2022-06-06,top 10,54786,42.14%
13,2022-06-06,top 20,2841,2.19%
14,2022-06-06,top 3,72373,55.67%
