,date,Ranking range,count,Share
0,2022-03-07,11-20,3435,2.64%
1,2022-03-07,4-10,59416,45.7%
2,2022-03-07,top 3,67149,51.65%
3,2022-05-30,11-20,3102,2.39%
4,2022-05-30,4-10,54719,42.09%
5,2022-05-30,top 3,72179,55.52%
6,2022-06-13,11-20,2971,2.29%
7,2022-06-13,4-10,54159,41.66%
8,2022-06-13,top 3,72870,56.05%
9,2022-06-20,11-20,3627,2.79%
10,2022-06-20,4-10,62931,48.41%
11,2022-06-20,top 3,63442,48.8%
