,date,Ranking range,count,Share
0,2022-03-21,11-20,13765,10.59%
1,2022-03-21,4-10,87932,67.64%
2,2022-03-21,top 3,28303,21.77%
3,2022-06-06,11-20,11620,8.94%
4,2022-06-06,4-10,88045,67.73%
5,2022-06-06,top 3,30335,23.33%
6,2022-06-20,11-20,12031,9.25%
7,2022-06-20,4-10,82735,63.64%
8,2022-06-20,top 3,35234,27.1%
9,2022-06-27,11-20,11591,8.92%
10,2022-06-27,4-10,75901,58.39%
11,2022-06-27,top 3,42508,32.7%
