,domain,visibility
0,aliexpress.com,80625
1,amazon.fr,10029853
2,bricodepot.fr,408106
3,but.fr,4947273
4,castorama.fr,3481337
5,cdiscount.com,6349902
6,conforama.fr,2800184
7,ebay.fr,247266
8,ikea.com,1228673
9,laredoute.fr,1986636
10,leroymerlin.fr,16418507
11,manomano.fr,8063463
