,domain,visibility
0,aliexpress.com,103795
1,amazon.fr,25900486
2,bricodepot.fr,543188
3,but.fr,8056432
4,castorama.fr,5808786
5,cdiscount.com,16594887
6,conforama.fr,3072830
7,ebay.fr,461069
8,ikea.com,1431375
9,laredoute.fr,3857649
10,leroymerlin.fr,32762827
11,manomano.fr,17542476
