,domain,visibility
0,aliexpress.com,97846
1,amazon.fr,11937010
2,bricodepot.fr,364601
3,but.fr,3088738
4,castorama.fr,2107060
5,cdiscount.com,7564983
6,conforama.fr,1820924
7,ebay.fr,231789
8,ikea.com,1098887
9,laredoute.fr,1506774
10,leroymerlin.fr,14373159
11,manomano.fr,8574182
