,domain,visibility
0,aliexpress.com,62852
1,amazon.fr,10337602
2,bricodepot.fr,316263
3,but.fr,3827307
4,castorama.fr,2532969
5,cdiscount.com,7127892
6,conforama.fr,1870505
7,ebay.fr,162322
8,ikea.com,1141373
9,laredoute.fr,1355399
10,leroymerlin.fr,13960661
11,manomano.fr,8263681
